FooDTypeID,ParameterID,Uncertanty,Regulatory Limit,Accredited,Test Method
85,52,,<2.0,FALSE,SLS 521: 1981 - Appendix E
84,58,,<10,FALSE,SLS 521: 1981 - Appendix B
84,47,,<3.5,FALSE,SLS 521: 1981 - Appendix C
84,1,,<0.5,FALSE,SLS 521: 1981 - Appendix D
84,52,,<2.0,FALSE,SLS 521: 1981 - Appendix E
86,58,,<10,FALSE,SLS 521: 1981 - Appendix B
86,47,,<3.5,FALSE,SLS 521: 1981 - Appendix C
86,1,,<0.5,FALSE,SLS 521: 1981 - Appendix D
86,52,,<2.0,FALSE,SLS 521: 1981 - Appendix E
87,56,,,FALSE,
87,14,,,FALSE,PFL/7.2/TM/03
87,38,,,FALSE,SLS 729 :  2010 - Appendix D
87,40,,,FALSE,SLS 729 :  2010 - Appendix E
88,56,,,FALSE,SLS 729 :  2010 - Appendix B
88,14,,,FALSE,
88,38,,,FALSE,SLS 729 :  2010 - Appendix D
88,40,,,FALSE,SLS 729 :  2010 - Appendix E
89,38,,,FALSE,SLS 729 :  2010 - Appendix D
89,14,,,FALSE,PFL/7.2/TM/03
89,56,,,FALSE,
89,40,,,FALSE,SLS 729 :  2010 - Appendix E
91,38,,,FALSE,SLS 729 :  2010 - Appendix D
91,40,,,FALSE,SLS 729 :  2010 - Appendix E
91,14,,,FALSE,
91,56,,,FALSE,SLS 729 :  2010 - Appendix B
90,38,,,FALSE,
90,14,,,FALSE,PFL/7.2/TM/03
90,56,,,FALSE,SLS 729 :  2010 - Appendix B
92,38,,,FALSE,SLS 729 :  2010 - Appendix D
92,39,,,FALSE,
92,14,,,FALSE,PFL/7.2/TM/03
92,3,,,FALSE,
92,60,,,FALSE,
92,56,,,FALSE,SLS 729 :  2010 - Appendix B
93,38,,,FALSE,SLS 729 :  2010 - Appendix D
93,40,,,FALSE,SLS 729 :  2010 - Appendix E
93,39,,,FALSE,SLS 729 :  2010 - Appendix E
93,14,,,FALSE,PFL/7.2/TM/03
93,3,,,FALSE,
93,60,,,FALSE,
93,56,,,FALSE,SLS 729 :  2010 - Appendix B
94,38,,,FALSE,SLS 729 :  2010 - Appendix D
94,39,,,FALSE,SLS 729 :  2010 - Appendix E
94,14,,,FALSE,PFL/7.2/TM/03
94,3,,,FALSE,
94,60,,,FALSE,
94,56,,,FALSE,SLS 729 :  2010 - Appendix B
95,38,,,FALSE,SLS 729 :  2010 - Appendix D
95,40,,,FALSE,SLS 729 :  2010 - Appendix E
95,39,,,FALSE,SLS 729 :  2010 - Appendix E
95,14,,,FALSE,PFL/7.2/TM/03
95,3,,,FALSE,
95,60,,,FALSE,
95,56,,,FALSE,SLS 729 :  2010 - Appendix B
96,38,,<50,FALSE,SLS 729 :  2010 - Appendix D
96,39,,<120,FALSE,SLS 729 :  2010 - Appendix E
96,40,,<300,FALSE,SLS 729 :  2010 - Appendix E
96,56,,<16,FALSE,SLS 729 :  2010 - Appendix B
96,3,,<1,FALSE,SLS 729 :  2010 - Appendix C
97,14,,,FALSE,PFL/7.2/TM/03
97,38,,<50,FALSE,SLS 729 :  2010 - Appendix D
97,40,,<300,FALSE,SLS 729 :  2010 - Appendix E
97,60,,,FALSE,
97,56,,,FALSE,SLS 729 :  2010 - Appendix B
97,3,,,FALSE,SLS 729 :  2010 - Appendix C
98,14,,,FALSE,PFL/7.2/TM/03
98,38,,,FALSE,SLS 729 :  2010 - Appendix D
98,40,,,FALSE,SLS 729 :  2010 - Appendix E
98,60,,,FALSE,
98,56,,,FALSE,SLS 729 :  2010 - Appendix B
98,3,,,FALSE,SLS 729 :  2010 - Appendix C
99,14,,,FALSE,PFL/7.2/TM/03
99,38,,,FALSE,SLS 729 :  2010 - Appendix D
99,40,,,FALSE,SLS 729 :  2010 - Appendix E
99,60,,,FALSE,
99,56,,,FALSE,SLS 729 :  2010 - Appendix B
99,3,,,FALSE,SLS 729 :  2010 - Appendix C
100,14,,,FALSE,PFL/7.2/TM/03
100,38,,,FALSE,SLS 729 :  2010 - Appendix D
100,40,,,FALSE,SLS 729 :  2010 - Appendix E
100,60,,,FALSE,
100,56,,,FALSE,SLS 729 :  2010 - Appendix B
100,3,,,FALSE,SLS 729 :  2010 - Appendix C
101,14,,,FALSE,PFL/7.2/TM/03
101,38,,,FALSE,SLS 729 :  2010 - Appendix D
101,40,,,FALSE,SLS 729 :  2010 - Appendix E
101,60,,,FALSE,
101,56,,,FALSE,SLS 729 :  2010 - Appendix B
101,3,,,FALSE,
102,14,,,FALSE,PFL/7.2/TM/03
103,25,,,FALSE,PFL/7.2/TM/15
103,14,,,FALSE,
104,25,,,FALSE,PFL/7.2/TM/15
104,14,,,FALSE,
105,25,,,FALSE,PFL/7.2/TM/15
105,14,,,FALSE,
106,25,,,FALSE,PFL/7.2/TM/15
106,18,,,FALSE,
106,25,,,FALSE,PFL/7.2/TM/15
108,28,,,FALSE,PFL/7.2/TM/06
108,18,,,FALSE,
108,25,,,FALSE,PFL/7.2/TM/06
109,28,,,FALSE,PFL/7.2/TM/06
109,18,,,FALSE,
109,25,,,FALSE,
107,28,,,FALSE,PFL/7.2/TM/06
107,18,,,FALSE,
107,25,,,FALSE,PFL/7.2/TM/15
111,28,,,FALSE,PFL/7.2/TM/06
111,18,,,FALSE,
111,25,,,FALSE,PFL/7.2/TM/15
111,33,,,FALSE,
111,47,,,FALSE,
111,1,,,FALSE,
112,28,,,FALSE,PFL/7.2/TM/06
112,18,,,FALSE,
112,25,,,FALSE,PFL/7.2/TM/06
113,28,,,FALSE,PFL/7.2/TM/06
113,18,,,FALSE,
113,10,,,FALSE,
114,28,,,FALSE,PFL/7.2/TM/06
114,18,,,FALSE,
114,10,,,FALSE,
